study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB39797	SAMEA7171715	ERX4377213	ERR4436656	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436656/ERR4436656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436656/ERR4436656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436656/CS17-13385-D_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436656/CS17-13385-D_S12_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/006/ERR4436656
PRJEB39797	SAMEA7171715	ERX4377213	ERR4436657	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436657/ERR4436657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436657/ERR4436657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436657/CS17-13385-D_S12_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436657/CS17-13385-D_S12_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/007/ERR4436657
PRJEB39797	SAMEA7171715	ERX4377213	ERR4436658	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436658/ERR4436658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436658/ERR4436658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436658/CS17-13385-D_S12_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436658/CS17-13385-D_S12_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/008/ERR4436658
PRJEB39797	SAMEA7171715	ERX4377213	ERR4436659	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436659/ERR4436659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436659/ERR4436659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436659/CS17-13385-D_S12_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436659/CS17-13385-D_S12_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/009/ERR4436659
PRJEB39797	SAMEA7171716	ERX4377214	ERR4436660	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436660/ERR4436660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436660/ERR4436660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436660/CS17-13385-V_S11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436660/CS17-13385-V_S11_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/000/ERR4436660
PRJEB39797	SAMEA7171716	ERX4377214	ERR4436661	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436661/ERR4436661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436661/ERR4436661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436661/CS17-13385-V_S11_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436661/CS17-13385-V_S11_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/001/ERR4436661
PRJEB39797	SAMEA7171716	ERX4377214	ERR4436662	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436662/ERR4436662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436662/ERR4436662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436662/CS17-13385-V_S11_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436662/CS17-13385-V_S11_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/002/ERR4436662
PRJEB39797	SAMEA7171716	ERX4377214	ERR4436663	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436663/ERR4436663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436663/ERR4436663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436663/CS17-13385-V_S11_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436663/CS17-13385-V_S11_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/003/ERR4436663
PRJEB39797	SAMEA7171717	ERX4377215	ERR4436664	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436664/ERR4436664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436664/ERR4436664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436664/CS17-13631-D_S10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436664/CS17-13631-D_S10_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/004/ERR4436664
PRJEB39797	SAMEA7171717	ERX4377215	ERR4436665	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436665/ERR4436665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436665/ERR4436665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436665/CS17-13631-D_S10_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436665/CS17-13631-D_S10_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/005/ERR4436665
