Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR9600599,RNA-Seq,90,1224499468,PRJNA335633,SAMN12136032,974140316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365931,GSM3904652,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904652,"Dorsal eye (neural retina\, RPE)",SRP079981,"Dorsal eye (neural retina\, RPE)"
SRR9600600,RNA-Seq,95,329803973,PRJNA335633,SAMN12136031,259915894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365932,GSM3904653,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904653,"Optic fissure margin environment (neural retina\, RPE\, peri-ocualr mesenchyme)",SRP079981,"Optic fissure margin environment (neural retina\, RPE\, peri-ocualr mesenchyme)"
SRR9600602,RNA-Seq,66,765192086,PRJNA335633,SAMN12136030,602569433,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365933,GSM3904654,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904654,"Ventral eye (neural retina\, RPE\, and optic fissure margin)",SRP079981,"Ventral eye (neural retina\, RPE\, and optic fissure margin)"
SRR9600603,RNA-Seq,90,160990097,PRJNA335633,SAMN12136029,126956316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365934,GSM3904655,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904655,"Whole eye\, including lens",SRP079981,"Whole eye\, including lens"
SRR9600604,RNA-Seq,90,650446413,PRJNA335633,SAMN12136078,518935015,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365935,GSM3904656,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904656,"Dorsal eye (neural retina\, RPE)",SRP079981,"Dorsal eye (neural retina\, RPE)"
SRR9600605,RNA-Seq,90,312651535,PRJNA335633,SAMN12136076,245423929,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365936,GSM3904657,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904657,"Optic fissure margin environment (neural retina\, RPE\, peri-ocualr mesenchyme)",SRP079981,"Optic fissure margin environment (neural retina\, RPE\, peri-ocualr mesenchyme)"
SRR9600606,RNA-Seq,68,235464212,PRJNA335633,SAMN12136075,185588587,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365937,GSM3904658,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904658,"Ventral eye (neural retina\, RPE\, and optic fissure margin)",SRP079981,"Ventral eye (neural retina\, RPE\, and optic fissure margin)"
SRR9600607,RNA-Seq,99,117299092,PRJNA335633,SAMN12136074,92774864,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365938,GSM3904659,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904659,"Whole eye\, including lens",SRP079981,"Whole eye\, including lens"
SRR9600608,RNA-Seq,94,1381391765,PRJNA335633,SAMN12136073,1037059891,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365939,GSM3904660,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904660,"Dorsal eye (neural retina\, RPE)",SRP079981,"Dorsal eye (neural retina\, RPE)"
SRR9600609,RNA-Seq,108,1045299657,PRJNA335633,SAMN12136072,773071400,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",E5,SRX6365940,GSM3904661,Ion Torrent PGM,SINGLE,cDNA,TRANSCRIPTOMIC,Gallus gallus,ION_TORRENT,2019-06-27T00:00:00Z,GSM3904661,"Optic fissure margin environment (neural retina\, RPE\, peri-ocualr mesenchyme)",SRP079981,"Optic fissure margin environment (neural retina\, RPE\, peri-ocualr mesenchyme)"
