RawFile 	study_accession 	Organism  	Stage 	Section	Other
GSM2944692_E11.5-OF-A.CEL.gz	GSE109501	Mouse	E11.5	OF	
GSM2944693_E11.5-OF-B.CEL.gz	GSE109501	Mouse	E11.5	OF	
GSM2944694_E11.5-OF-C.CEL.gz	GSE109501	Mouse	E11.5	OF	
GSM2944695_E11.5-NR-A.CEL.gz	GSE109501	Mouse	E11.5	NR	
GSM2944696_E11.5-NR-B.CEL.gz	GSE109501	Mouse	E11.5	NR	
GSM2944697_E11.5-NR-C.CEL.gz	GSE109501	Mouse	E11.5	NR	
GSM2944698_E11.5-TR-A.CEL.gz	GSE109501	Mouse	E11.5	TR	
GSM2944699_E11.5-TR-B.CEL.gz	GSE109501	Mouse	E11.5	TR	
GSM2944700_E11.5-TR-C.CEL.gz	GSE109501	Mouse	E11.5	TR	
GSM327854.CEL.gz	GSE13103	Mouse	E10.5	OF	
GSM327855.CEL.gz	GSE13103	Mouse	E10.5	OF	
GSM327856.CEL.gz	GSE13103	Mouse	E10.5	OF	
GSM327857.CEL.gz	GSE13103	Mouse	E11.5	OF	
GSM327858.CEL.gz	GSE13103	Mouse	E11.5	OF	
GSM327859.CEL.gz	GSE13103	Mouse	E11.5	OF	
GSM327860.CEL.gz	GSE13103	Mouse	E12.5	OF	
GSM327861.CEL.gz	GSE13103	Mouse	E12.5	OF	
GSM3904652_Dors_E5_1_abundance.tsv.gz	GSE84916	Chick	E5	Dorsal	Replicate 1
GSM3904653_Fiss_E5_1_abundance.tsv.gz	GSE84916	Chick	E5	Fissure	Replicate 1
GSM3904654_Vent_E5_1_abundance.tsv.gz	GSE84916	Chick	E5	Ventral	Replicate 1
GSM3904655_Whole_E5_1_abundance.tsv.gz	GSE84916	Chick	E5	Whole	Replicate 1
GSM3904656_Dors_E5_2_abundance.tsv.gz	GSE84916	Chick	E5	Dorsal	Replicate 2
GSM3904657_Fiss_E5_2_abundance.tsv.gz	GSE84916	Chick	E5	Fissure	Replicate 2
GSM3904658_Vent_E5_2_abundance.tsv.gz	GSE84916	Chick	E5	Ventral	Replicate 2
GSM3904659_Whole_E5_2_abundance.tsv.gz	GSE84916	Chick	E5	Whole	Replicate 2
GSM3904660_Dors_E5_3_abundance.tsv.gz	GSE84916	Chick	E5	Dorsal	Replicate 3
GSM3904661_Fiss_E5_3_abundance.tsv.gz	GSE84916	Chick	E5	Fissure	Replicate 3
GSM3904662_Vent_E5_3_abundance.tsv.gz	GSE84916	Chick	E5	Ventral	Replicate 3
GSM3904663_Whole_E5_3_abundance.tsv.gz	GSE84916	Chick	E5	Whole	Replicate 3
GSM3904664_Fiss_E5_1_abundance.tsv.gz	GSE84916	Chick	E6	Fissure	Replicate 1
GSM3904665_Vent_E5_1_abundance.tsv.gz	GSE84916	Chick	E6	Ventral	Replicate 1
GSM3904666_Whole_E5_1_abundance.tsv.gz	GSE84916	Chick	E6	Whole	Replicate 1
GSM3904667_Fiss_E5_2_abundance.tsv.gz	GSE84916	Chick	E6	Fissure	Replicate 2
GSM3904668_Vent_E5_2_abundance.tsv.gz	GSE84916	Chick	E6	Ventral	Replicate 2
GSM3904669_Whole_E5_2_abundance.tsv.gz	GSE84916	Chick	E6	Whole	Replicate 2
GSM3904670_Fiss_E5_3_abundance.tsv.gz	GSE84916	Chick	E6	Fissure	Replicate 3
GSM3904671_Vent_E5_3_abundance.tsv.gz	GSE84916	Chick	E6	Ventral	Replicate 3
GSM3904672_Whole_E5_3_abundance.tsv.gz	GSE84916	Chick	E6	Whole	Replicate 3
GSM3904673_Fiss_E5_1_abundance.tsv.gz	GSE84916	Chick	E7	Fissure	Replicate 1
GSM3904674_Vent_E5_1_abundance.tsv.gz	GSE84916	Chick	E7	Ventral	Replicate 1
GSM3904675_Whole_E5_1_abundance.tsv.gz	GSE84916	Chick	E7	Whole	Replicate 1
GSM3904676_Fiss_E5_2_abundance.tsv.gz	GSE84916	Chick	E7	Fissure	Replicate 2
GSM3904677_Vent_E5_2_abundance.tsv.gz	GSE84916	Chick	E7	Ventral	Replicate 2
GSM3904678_Whole_E5_2_abundance.tsv.gz	GSE84916	Chick	E7	Whole	Replicate 2
GSM3904679_Fiss_E5_3_abundance.tsv.gz	GSE84916	Chick	E7	Fissure	Replicate 3
GSM3904680_Vent_E5_3_abundance.tsv.gz	GSE84916	Chick	E7	Ventral	Replicate 3
GSM3904681_Whole_E5_3_abundance.tsv.gz	GSE84916	Chick	E7	Whole	Replicate 3
SRX9340657	GSE159822	Zebrafish	32hpf	OF	Replicate 1
SRX9340658	GSE159822	Zebrafish	32hpf	DR	Replicate 1
SRX9340659	GSE159822	Zebrafish	48hpf	OF	Replicate 1
SRX9340660	GSE159822	Zebrafish	48hpf	DR	Replicate 1
SRX9340661	GSE159822	Zebrafish	56hpf	OF	Replicate 1
SRX9340662	GSE159822	Zebrafish	56hpf	DR	Replicate 1
SRX9340663	GSE159822	Zebrafish	32hpf	OF	Replicate 2
SRX9340664	GSE159822	Zebrafish	32hpf	DR	Replicate 2
SRX9340665	GSE159822	Zebrafish	48hpf	OF	Replicate 2
SRX9340666	GSE159822	Zebrafish	48hpf	DR	Replicate 2
SRX9340667	GSE159822	Zebrafish	56hpf	OF	Replicate 2
SRX9340668	GSE159822	Zebrafish	56hpf	DR	Replicate 2
SRX9340669	GSE159822	Zebrafish	32hpf	OF	Replicate 3
SRX9340670	GSE159822	Zebrafish	32hpf	DR	Replicate 3
SRX9340671	GSE159822	Zebrafish	48hpf	OF	Replicate 3
SRX9340672	GSE159822	Zebrafish	48hpf	DR	Replicate 3
SRX9340673	GSE159822	Zebrafish	56hpf	OF	Replicate 3
SRX9340674	GSE159822	Zebrafish	56hpf	DR	Replicate 3
SRX9340675	GSE159822	Zebrafish	32hpf	OF	Replicate 4
SRX9340676	GSE159822	Zebrafish	32hpf	DR	Replicate 4
SRX9340677	GSE159822	Zebrafish	48hpf	OF	Replicate 4
SRX9340678	GSE159822	Zebrafish	48hpf	DR	Replicate 4
SRX9340679	GSE159822	Zebrafish	56hpf	OF	Replicate 4
SRX9340680	GSE159822	Zebrafish	56hpf	DR	Replicate 4
SRX9340681	GSE159822	Zebrafish	32hpf	OF	Replicate 5
SRX9340682	GSE159822	Zebrafish	32hpf	DR	Replicate 5
SRX9340683	GSE159822	Zebrafish	48hpf	OF	Replicate 5
SRX9340684	GSE159822	Zebrafish	48hpf	DR	Replicate 5
SRX9340685	GSE159822	Zebrafish	56hpf	OF	Replicate 5
SRX9340686	GSE159822	Zebrafish	56hpf	DR	Replicate 5
ERR4436656_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	CS = Carneige Stage
ERR4436656_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436657_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436657_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436658_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436658_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436659_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436659_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436660_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436660_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436661_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436661_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436662_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436662_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436663_1.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436663_2.fastq.gz	E-MTAB-9426	Human	CS17	OFM	
ERR4436664_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436664_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436665_1.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
ERR4436665_2.fastq.gz	E-MTAB-9426	Human	CS17	Dorsal Cup	
